Name,Type,One Liner,Industry,Website,Service / Product Description,Business Model,Technology,Customer,Pain Point,Value Chain,Theme,Focus Area,Opportunity Space,Founded,Employees,Country,City,Funded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD),Maturity,Fast Growth (Y/N),Relevance,Inc. Radar,Hero,Comments,,,Old or New
Navlunvergitsin,,Quotation based booking platform for ocean and air freight transportation,Maritime,http://navlunvergitsin.com,"Navlunvergitsin provides an online platform to connect importers and exporters to carrier and freight forwarders. Customers can use the platform to get quotes for air, FCL, and LCL ocean freight by filling form specifying transport mode, inbound and outbound port, country and contact details. Customers get quotes after the form is submitted and they can select a service provider.",,,,,,,,,2011,,Turkey,Ankara,No,Unfunded,,,,Existing,,,,,,Business Model Innovation,Freight Orchestration,Old
Neewee,,IoT-based analytics solutions provider,Manufacturing,https://neewee.ai/,"NeeWee is a provider of IoT-based analytics solutions provider for predictive analysis. The product offered includes Bodhee and its features are risk prediction, real-time insight generation, and streamlines entire manufacturing. The product acquires data from various data sources including assets and provides predictability to cost, delivery and quality of the manufacturing.",,,,,,,,,2014,,India,Bangalore,Yes,Series A,,3544484,,,,,,,,Data & AI,Demand & Supply Prediction,Old
Neptune Robotics,,Provider of robotic solution for inspection of cargo ship hulls,Maritime,,,,,,,,,,,2018,,China,Shenzhen,No,Seed,,55000,,Distant,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Nestcargo,,Freight marketplace connecting shippers with forwarding companies,Maritime,http://nestcargo.com/,"Nestcargo is an online tool that helps shippers find carriers for international transport. Shippers can sumbit shipments online and get instant quotes from leading carrier companies for international road, sea and air cargo transport. As of dec'15, the platform has more than 900 commercial and industrial enterprises registering cargo loads from small packages to whole containers. Platform is free for shippers to use.",,,,,,,,,2013,,Greece,Athens,No,Unfunded,,,,Existing,,,,,,Business Model Innovation,Freight Orchestration,Old
New Era Energy,,Decentralized Energy trading platform,Energy,https://lab10.coop,"NERA project aims to push for clean Energy production using a decentralized blockchain network which records the data, records, and digital footprints of individuals and corporates. The data is stored as Emission Reduction Units (ERUs). ERUs can be converted to the native NERA tokens. The tokens are backed by income from funded projects, where scheduled donations will ensure liquidity.",,,,,,,,,2017,,Singapore,,No,Unfunded,,,,Existing,,,,,,CO2 Transparency,Blockchain For CO2 Provenance,Old
New Search from 4-JUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Old
New Sky Energy,,Waste streams to valuable chemicals technology developer,Chemicals,http://www.newskyenergy.com,"New Sky Energy is an award-­winning clean chemistry company which focusses on removal of hydrogen sulfide and CO2 from sour biogas and natural gas streams. It designs, develops and manufactures SulfurCycle equipment and chemicals for municipal and industrial desulfurization of natural and biogas streams.  SulfurCycle uses a water based, non-toxic suspension of metal oxide particles to capture and convert H2S into elemental sulfur.  It also developed SaltCycle & CarbonCycle technologies to convert common industrial waste streams like waste brines and CO2 into valuable clean chemicals.",,,,,,,,,2007,,USA,Boulder,Yes,Funded,,,,Existing,,,,,,"Carbon CS, offsetting & trading",CO2 Upcycling,Old
Newlight,,Developed a new plastic material using methane based green house gases.,Industrial Biotechnology,https://www.newlight.com,"Newlight has developed a method to produce a thermoplastic material called AirCarbon by combining air with methane-based greenhouse gas emissions. First, concentrated methane emissions are captured from places like farms, landfills and directed into Newlight's patented conversion reactor. In next step, the carbon emissions are combined with air and a biocatalyst which pulls oxygen out of air and carbon &amp; hydrogen from methane. At last step polymerization process takes place.",,,,,,,,,2002,,USA,Irvine,Yes,Series D,,70784242,,Existing,,,,,,"Carbon CS, offsetting & trading",CO2 Upcycling,Old
Newlight Technologies,,Transform CO2 - bioplastic,Industrial Biotechnology,https://www.newlight.com/,"The scientists and engineers at this Huntington Beach, California, based startup have developed a process for capturing methane or carbon dioxide from a farm or power plant flue stream, and combining it with a microorganism that pulls the carbon out of the methane or carbon dioxide. The concentrated carbon is then combined with hydrogen and oxygen to synthesize a naturally occurring, PHA-based biopolymer material that is then purified and processed into a pellet, which can then be melted and formed into shapes.

Newlight in 2016 entered into a supply, collaboration and technology license agreement with IKEA to allow the furniture giant to produce thermoplastic using Newlight’s technology. IKEA has a goal to use 100 percent recyclable or recycled materials in all its plastic products, said in March that it has had trouble finding adequate amounts of ""clean recycled materials,"" which has slowed the transition.",,,,,,,,,2002,,USA,Irvine,Yes,Series D,,70800000,,Existing,,,,,,Business Model Innovation,CO2 Reduction Monetization In Other Industries,Old
NHANS Logistics,,Cloud-based ERP software provider for the logistics industry,SaaS,https://www.logistic-software.com,"NHANS provides cloud-based ERP software for the logistics industry. Various modules offered by the company are warehousing & 3PL management, transport management, supply chain management, and parcel/courier management. Features included are shipment tracking management, stock management, cycle count, maintenance planning, route planning, dispatch management, invoicing, report generation, and more.",,,,,,,,,2019,,India,Chennai,No,Unfunded,,,,,,,,,,Data & AI,Demand & Supply Prediction,Old
Njord Filtration,,,,http://www.njordfiltration.com/en/,"Njord Filtration is an innovative 'One Stop Shop' for optimizing and keeping fuel oils and other liquids in excellent condition. In addition to delivering a wide range of products, systems and services, no one is more capable than us at analyzing and solving your problems.",,,,,,,,,,,,,,,,,,,,,,,,,,Old
Noii,,IT software and solutions for logistics,Logistics,http://www.noii.vn,"N.O.II is a software and services provider for logistics companies in the field of warehousing and distribution management along with solutions for data interfacing and supply chain management. The company provides DMS (Distribution Management system) which is a cloud-based B2B platform to connect, transact and exchange information amongst vendor, distributor and store. Similarly, their WMS solution provides visibility and information through EDI connectivity and data capture at different points allowing for automating order processing and fulfilment operations. The company also provides services for EDI, and integration of solutions with existing platforms.",,,,,,,,,2013,,Vietnam,Phu Nhuan,No,Unfunded,,,,Existing,,,,,,Data & AI,Fleet Utilization,Old
Nolithub,,Online marketplace for shippers and forwarders,Maritime,http://nolithub.com,"Nolithub provides an online marketplace to connect shippers and forwarders. Shippers can upload their shipments on the platform for which forwarders can send their quotes. After a shipper has received quotes, the customer can select one of the quotes, after which both the parties are connected on the platform to take the process forward.",,,,,,,,,2016,,Spain,Barcelona,No,Unfunded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Nordic Blue Crude,,,,http://nordicbluecrude.no,"Transforming energy, saving the Earth",,,,,,,,,,,,,,,,,,,,,,,,,,Old
NORI,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,Old
Norse Power,,,,https://www.norsepower.com,Wind propulsion system,,,,,,,,,,,,,,,,,,,,,,,,,,Old
Nostra Logistics,,Software solutions for the logistics industry,Logistics,https://www.nostralogistics.com,"Nostra Logistics is a provider of software solutions to the logistics industry. Product offerings include a Transport Management System (TMS), route planning & optimization solution, fleet management & vehicle telematics software, and a suite of trackers & sensors. The solution covers functionalities such as real-time location tracking, scheduling, reporting, invoicing, multi-stop route planning, driver behavior monitoring, electronic proof of delivery, and more. Clients include DHL, CJ Express, Pepsi, SCG Logistics, and Yusen logistics among others.",,,,,,,,,2015,,Thailand,,No,Unfunded,,,,Existing,,,,,,Data & AI,Fleet Utilization,Old
Novipod,,,,,"Novipod has developed a uniquely versatile, software-based approach to asset tracking management.",,,,,,,,,,,,,,,,,,,,,,,,,,Old
NovoNutrients,,Developer of bio-production platform to transform carbon dioxide into useful products,Industrial Biotechnology,https://www.novonutrients.com,,,,,,,,,,2018,,USA,Sunnyvale,Yes,Seed,,250000,,Distant,,,,,,"Carbon CS, offsetting & trading",CO2 Upcycling,Old
Nowports,,AI-based tech-enabled freight forwarder,Maritime,https://nowports.com,"Nowports is an AI-based tech-enabled freight forwarder. It is a digital platform that allows users to book their multi-modal freight forwarding services. Its features include live shipment tracking, shipment history reports, transparent rates prior to shipping, communication between clients and suppliers, optimised routing, and visibility into cargo handling. It caters to the automotive, cleaning, furniture, refrigeration and dairy products industries. Its clients include Grin Scooters.",,,,,,,,,2018,,Mexico,Monterrey,Yes,Seed,,5450000,,Distant,,,,,,Business Model Innovation,Freight Orchestration,Old
NRGcoin,,Blockchain platform for green Energy,Energy,https://www.gpm-carbon.com,NRGcoin provides a blockchain-based platform which uses the smart contract technology for the green Energy industry. The smart contract technology automates the payment method for the Energy consumption by the users.,,,,,,,,,2017,,,,No,Unfunded,,,,Existing,,,,,,CO2 Transparency,Blockchain For CO2 Provenance,Old
NRStor,,Energy storage project developer,Energy,,,,,,,,,,,2012,,Canada,Toronto,No,Series A,,11000000,,Existing,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Nuvocargo,,Tech-enabled freight forwarder,Maritime,https://www.nuvocargo.com,"Nuvocargo (previously known as Savicargo) is a tech-enabled freight forwarder & customs broker, primarily focussing on the cross-border transportation between the US and LATAM countries. Through the online platform, users can provide logistics requirements, receive & book quotes as well as manage & track services in real-time.",,,,,,,,,2019,,USA,New York City,Yes,Seed,,120000,,Distant,,,,,,Business Model Innovation,Freight Orchestration,Old
Oberon Fuels,,Produce variants of Dimethyl ether( an alternative for biodiesel),Energy,,,,,,,,,,,2010,,USA,La Jolla,No,Seed,,595155,,Emerging,,,,,,Fuel & Efficiency,Fuel Additives,Old
Ocean Freight Exchange,,Online marketplace for ocean freight transportation,Maritime,https://www.theofe.com,"Ocean Freight Exchange (OFE) is an online marketplace that connects charterers, ship owners, and brokers for booking ocean freight transportation. Using its platform users can place details about their shipping requirements. Carriers and brokers can later place their bids for securing the booking. Similarly, users can also enter their details to select from a list of service providers. Charges commission basis per transaction done through its platform.",,,,,,,,,2015,,USA,Los Angeles,Yes,Funded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Ocean Manager,,,,https://www.oceanmanager.com,"Ocean Manager focuses on maritime applications. Its solution mHSEQ helps in compliance for QHSE (Quality, Health, Safety, and Environment) for ships. The product SeaRM360 provides a 360-degree view of vessel operations and integrates bigdata from corporate systems through a module called BIOME, VesTrak for vessel tracking, and VesRIM for reporting. Another product InlandManager provides Tug Vessel Record software.",,,,,,,,,2008,,,,,,,,,,,,,,,,,Old
Ocean Maps,,"Provides 3D underwater maps based on high resolution sonar, satellite, and video data",Logistics,https://www.ocean-maps.com,"Ocean Maps provides 3D underwater maps based on high resolution sonar, satellite, and video data. It has its two app including: Top Scuba Maps Worldwide that offers 3D underwater maps for scuba divers & snorkelers and is available on App Store, Play Store, Mac devices & Windows PC; and Stuart Cove's Dive Bahamas that offers interactive 3D maps for Stuart Cove's Dive Bahamas and is available on App Store & Play Store. It also provides Waterproof Dive Cards that provide information about famous dive spots in the world including measurements, depth view, hotspots, flora & fauna, and geographical conditions. It provides professional underwater inspection services such as surveying, analyzing, visualization, and various solutions for the overview of the underwater environment. It also provides a Digital Twin solution that offers power plant digitalization.",,,,,,,,,2015,,Austria,Salzburg,No,Unfunded,,,,Emerging,,,,,,Data & AI,Fleet Utilization,Old
Odense Maritim,,,,http://www.odensemaritime.com,"OMT designs incorporate retrofit options to save energy, regenerate heat loss and lower the CO2 emissions. One of business areas: Ship retrofit concepts",,,,,,,,,,,,,,,,,,,,,,,,,,Old
ODeX,,Online platform for shipping documentation exchange,,http://www.odex.co/,"ODeX offers a online platform for shipping documentation exchange. Provides for connecting with shipping lines, CFS and banks. Features include tracking & receiving invoices, real time confirmation after invoice payments, tracking of orders and tracing of e-Form 13.",,,,,,,,,2015,,India,Mumbai,Yes,Series A,,124000,,,,,,,,Supply chain optimisation,3.6 Digitisation of supply chain contracts (inmarsat),Old
Offsetra,,Platform for providing carbon offset credits,Blockchain,https://www.offsetra.com,"Offsetra is a platform for providing carbon offset credits. It provides funds for carbon reduction projects such as renewable energy installation, reforestation, forest protection, and others. Claims to offer $8 for reducing each tonne of carbon production.",,,,,,,,,2019,,England,Lincoln,No,Unfunded,,,,Distant,,,,,,"Carbon CS, offsetting & trading",CO2 Trading/Offsetting/Exchange,Old
Offshore Navigation Limited (ONL),,,,http://offshorenavigation.com/,"ONL shall provide the most accurate and advanced navigation system for worldwide offshore and maritime use, that will enable greater fuel optimization and make the global maritime transport more sustainable.",,,,,,,,,2014,,England,George Hill,Yes,Seed,,55800,,,,,,,,Smart Ports,Data audit & standardisation,Old
Offshore Navigation Ltd.,,,,offshorenavigation.com,"ONL shall provide the most accurate and advanced navigation system for worldwide offshore and maritime use, that will enable greater fuel optimization and make the global maritime transport more sustainable.",,,,,,,,,,,,,,,,,,,,,,,,,,Old
OilX,Startup,,Finance,http://oilx.co,"OilX is a startup in the oil sector that provides a global real-time oil supply-demand balance. Combining oil sector expertise with data science to fuse oil, satellite and shipping data, OilX generates hyper-relevant real-time insights for traders and analysts in the oil markets. ",,,,,,Digital Trading,Intelligent Sourcing,,2018,,England,,Yes,Seed,,,,,,,TRUE,FALSE,,,,Old
Oklo,,Emission free Nuclear Fission Generator,Nuclear Reactors,,,,,,,,,,,2013,,USA,Sunnyvale,No,Seed,,120000,,Emerging,,,,,,Fuel & Efficiency,New Fuel Types,Old
OlymTech,,SaaS solution and marketplace for freight forwarders,Maritime,http://www.olymtech.com,"OlymTech provides a cloud-based solution for freight forwarders and operators a forwarders marketplace. Its 2 solutions are CargoGM: a suite of cloud applications that help in building O2O platforms for freight forwarders and CargoPM: an online marketplace that enables forwarders to collaborate and fulfill transactions with their customers and business partners on a single platform. Claims to have 1,500+ forwarders and 150,000 active users on its network. Backed by IDG and Matrix. Has presence across major international logistics gateways in China, including Shanghai, Shenzhen, Guangzhou, Ningbo, Qingdao, Tianjin and Xiamen",,,,,,,,,2002,,China,Ningbo,Yes,Series B,,34267500,,Existing,,,,,,Business Model Innovation,Freight Orchestration,Old
One Scientific,,Fuel cell technology developer,Renewables,,,,,,,,,,,2014,,USA,Johnson,No,Seed,,476566,,Emerging,,,,,,Fuel & Efficiency,New Fuel Types,Old
OnTruck,,Online marketplace for on-demand trucking services,Logistics,https://www.ontruck.com/uk/,"Ontruck is an online B2B marketplace that connects shippers and truck carriers for road-borne transportation of palletized goods in select European countries. The platform enables shippers to search, compare, and book on-demand trucking services after providing relevant details. Users can also track the load in real-time and make online payments. Claims that the partner carriers/drivers are verified through certifications and interviews and that the loads are insured by LOTT regulations. It releases payments to carriers on a monthly basis for transported loads.",,,,,,,,,2016,,Spain,Madrid,Yes,Series B,,41109640,,Existing,,,,,,Data & AI,Fleet Utilization,Old
Onvector,,Developer of plasma-based wastewater treatment technology,Water Treatment,,,,,,,,,,,2012,,USA,King Of Prussia,No,Seed,,,,Existing,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Open Sea,,,,,"Ship chartering marketplace for shipowners, charterers and shipbrokers",,,,,,,,,,,,,,,,,,,,,,,,,,Old
OpenPort,,Supply chain management solutions for enterprises,Maritime,https://openport.com/,"OpenPort provides mobile platform for enterprise supply chain management in emerging markets, directly connecting shippers and carriers in order to reduce cost, improve performance and drive continuous supply chain optimization. Extensive portfolio of mobile and cloud based logistics products connects orders from multinationals' ERP systems across an unbroken chain of custody to a ‘Proof of Delivery’ app on the carrier’s mobile phone. Offers a unique marketplace model with open costs and provider performance ratings, coupled with a 4PL Dashboard to unlock the value of multi-market sales growth to new consumers. Enables a direct data relationship with the actual transport provider thereby improving EBIT by millions of USD per year for multinational companies, while empowering local carriers with growth opportunities through clear performance metrics and a direct data relationship with their customer. Offers OPN token which acts as a currency and store of value within the OpenPort ecosystem.",,,,,,,,,2015,,China,Hong Kong,Yes,Series A,,1100000,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Opensea,,,,https://opensea.pro,Connecting the Shipping World,,,,,,,,,,,,,,,,,,,,,,,,,,Old
OpenSeaPro,,Marketplace for ship chartering,Maritime,https://www.opensea.pro,"Openseapro provides an online platform for ship chartering. Customers need to specify a position of shipment on the web platform and it suggests suitable matching shippers based on the origin. Customers can view and compare multiple carriers and communicate using the platform. After the terms are finalized, parties need to exchange standard documentation and the shipment is processed. Customers can then view real-time status of the cargo in-transit.Pricing is dependent on different plan types starting at 100 EUR per month. Clients include Agility,Royal Wagenborg, Scanwel, Braemar, Torvald Klaveness, Cargill, AAL among others.",,,,,,,,,2015,,England,Douglas,Yes,Funded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Opti Innovations,,,,www.opti-innovations.com,"Opti Innovations, provides fuel efficiency and emissions solutions We are entering to late, however needed additional data and support.",,,,,,,,,2016,,,,,,,,,,,,,,,,,Old
Optimal Dynamics,,Automating sending loeads through to fleets with AI & machine learning,,optimaldynamics.com,"Optimal Dynamics, a startup based out of New York, is looking to help large fleets by automating the process of finding the right loads for their trucks, through AI and machine learning analytics. Smart-TL is a solution that Optimal Dynamics is building on in association with Hub Group, where they are automating the process of sending loads from a broker or a shipper to large fleets",,,,,,,,,,,USA,,,,,,,,,,,,,,1.1 Cargo planning and capacity optimization,Old
Nautical Control Solutions,,Marine fuel management systems,,https://www.fueltrax.com,"Nautical Control Solutions (NCS) designs, engineers, and manufactures fuel management systems which reduces fuel use and provides greater fleet oversight. Their flagship product FuelTrax® offers real-time marine fuel consumption measuring, monitoring, and reporting system. Other products include BunkerTrax™ for bunker fuel management,CargoTrax™ for cargo fluid management and TankTrax™ for marine tank management.",,,,,,,,,2006,,USA,Spring,No,Funded,,,,Existing,,,,,,"infrastructure, vessel & Asset efficiency",Energy & Equipment Management,
OptimaLogistics,,Trucking marketplace,Logistics,https://www.optimalogistic.com,"OptimaLogistics is a company providing a onlinel marketplace for trucking service booking, equipment rental and package or freight transportation booking. Users can choose the type of service they want and they are presented with nearby options with service and cost description. They can choose and book online. The company shows information regarding driver, truck capacity etc. It also allows carriers and transporters to post empty returns of their vehicles for more efficient logistics.",,,,,,,,,2016,,Tunisia,Sfax,Yes,Seed,,,,Existing,,,,,,Data & AI,Fleet Utilization,Old
Optimarin,,,,https://optimarin.com,We focus exclusively on Ballast Water Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,Old
Optimity Software,,Supply chain optimization softwares,Logistics,https://optimitysoftware.com/,"Otimity Software provides softwares for optimizing supply chain from strategic level to operational level. Family of products include : Network Designer - strategic supply chain network design analysis tool;  Demand Forecaster - tool for statistical forecasting and demand planning; ABC Analyzer - to analyze trends for demand predictability, lead times, profit margin ; Inventory Optimizer - tool for inventory optimisation to identify optimal safety stock and replenishment frequency ; Supply Chain Optimizer - for master production scheduling, sales and operation planning ; Transport Route Optimizer - tool for vehicle scheduling and route optimisation ; and Production Scheduler - for production scheduling",,,,,,,,,2008,,Australia,Sydney,No,Unfunded,,,,,,,,,,Data & AI,Demand & Supply Prediction,Old
Optimum Voyage,,,,http://www.optimumvoyage.com,Optimum Voyage is a weather routing service that optimizes voyages for all types of vessels. The service takes all parameters into account and is on average simulating hundreds of thousands of route variations for each voyage. This gives owners and operators the most fuel-efficient routes for their controlled vessels.,,,,,,,,,2016,,Denmark,Copenhagen,,Undisclosed,,,,,,,,,,Physical Process Enhancement,Automated port infrastructure,Old
Orbital Insight,,,,https://orbitalinsight.com/#slider-3,"Orbital Insight provides deep learning powered cloud platform which analyzes satellite based earth imagery data and generates meaningful insight into global economic trends. Its platform can be used to ingest, process, classify and analyze all the type of geospatial data at massive scale. Target sectors include retail, real estate, agriculture, commodities etc.",,,,,,,,,2013,,,,,,,80200000,,,,,,,,,Data analytics + prediction,Old
Orca AI,,AI-enabled navigation solution for the maritime industry,,https://www.orca-ai.io/,AI-enabled navigation solution for the maritime industry,,,,,,,,,2018,,Israel,Tel Aviv,Yes,Seed,,2600000,,,,,,,,,4.2 Fleet management,Old
Orcan Energy,,Provider of waste heat recovery and energy generation systems,Energy,,,,,,,,,,,2008,,Germany,Munich,No,Series C,,,,Existing,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Orpical Energy,,Provider of energy efficient upgrade solutions,Energy,,,,,,,,,,,2012,,USA,Jersey,No,Unfunded,,,,Existing,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Otego,,Patented printed thermoelectric generator,Energy,,,,,,,,,,,2016,,Germany,Karlsruhe,No,Seed,,,,Existing,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Ovalz,,Freight visibility and compliance solutions for the logistics industry,Logistics,https://www.ovalz.io,Ovalz provides SaaS-based freight visibility and compliance solutions for the logistics industry. Product offerings include 'BlockTrac' - an end-to-end freight tracking & visibility solution along with e-bill generation and 'SmartTrac' - a compliance management solution & EDI-based data exchange solution. It is available for a monthly subscription fee.,,,,,,,,,2017,,USA,Bethesda,No,Unfunded,,,,Existing,,,,,,Data & AI,Fleet Utilization,Old
Overhaul,,Mobile-based freight marketplace for the trucking industry,Logistics,https://over-haul.com/,"Overhaul offers a mobile-based marketplace for the commercial trucking industry connecting shippers and carriers. Shippers can find carriers for their loads and likewise. Using its app, carriers can plan their delivery routes, find pit stops, weigh scales, create alerts, share and sign documents such as bids, contracts, BoLs, PoDs etc. Charges carriers $70 for verification and onboarding and a $15 monthly subscription. The platform is free for shippers to use.",,,,,,,,,2016,,USA,Austin,Yes,Series A,,12132348,,Existing,,,,,,Data & AI,Fleet Utilization,Old
OVRSEA,,Tech-enabled multimodal freight forwarder,Maritime,https://www.ovrsea.com,"Oversea is a tech-enabled multimodal freight forwarder. Offers an online platform which enables users to receive quotations, book & track services in real-time as well as view analytics. The dashboard also offers functionalities such as reporting, digital document management, and order management. Services include multimodal cross-border freight transportation, warehousing, and customs clearance.",,,,,,,,,2017,,France,Paris,Yes,Seed,,2180700,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Oxto Energy,,Flywheel energy storage system,Energy,,,,,,,,,,,2016,,England,Guildford,No,Seed,,17647,,Emerging,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Pamyra,,Online marketplace for trucks and vans,Logistics,https://www.pamyra.de,"Pamyra is an online marketplace to connect shippers and carriers for road freight.  Shippers can create a request by entering transportation information, select a transport size and book using the platform.  Transporters can update the details of empty space in the truck with other trip details like origin, destination etc.  Payments to carriers are released on a monthly basis.",,,,,,,,,2015,,Germany,Erfurt,Yes,Seed,,,,Existing,,,,,,Data & AI,Fleet Utilization,Old
Parity,,Platform for reducing energy consumption,Energy,,,,,,,,,,,2018,,Canada,Toronto,No,Series A,,3726120,,Distant,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
PAX Pure,,Low temperature boiling solution for water desalination,Water Treatment,,,,,,,,,,,2012,,USA,San Rafael,No,Seed,,50000,,Existing,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Payload,,Procurement management and visibility platforms for upstream logistics,Logistics,https://payload.com/,"Payload helps producers, operators and service providers manage their logistics. The company has two primary offerings. The first is Payload; an online platform which provides visibility to all the stakeholders across the services performed, along with a central monitoring and control dashboard for making and implementing business decisions. The second offering, eManifest, is a compliance software which helps operators maintain the wastage and other documentation. Both the products are SaaS and cloud-based.",,,,,,,,,2015,,Canada,Calgary,No,Unfunded,,,,Existing,,,,,,Data & AI,Fleet Utilization,Old
PBES,,,,http://www.pbes.com/containerized-ess/,"At PBES we are inspired to take on the challenge of climate change through the use of our energy storage technologies in marine, grid, and other industrial industries.",,,,,,,,,,,,,,,,,,,,,,,,,,Old
Perpetual,,Develops wireless charging infrastructure for drones,Telecomm,http://oreontech.com,Perpetual Inc. develops wireless charging technology for drones. It intends to use its multi-antenna RF beamforming system for creating a network of distributed charging stations for drones. It also claims that its wireless solution will enable charging stations to become hardware agnostic since no docking is required.,,,,,,,,,2017,,USA,San Francisco,No,Unfunded,,,,Emerging,,,,,,Data & AI,5G Connectivity,Old
Persefoni,Startup,,,http://persefoni.com/,"An intelligent SaaS Platform that helps organizations measure and reduce their carbon footprint in real-time. Our solutions help turn consumption and emissions data into action, enabling real and significant progress toward a lower organizational footprint.",,,,,,Decarbonisation,CO2 Tracking,,,,,,,,,,,,,,TRUE,FALSE,,,,Old
Pharox IO,,Provider of a cloud-based supply chain visibility application,Logistics,https://pharox.io/,"Pharox is the provider of a cloud-based supply chain visibility application. It uses sensor-based IoT systems and includes route and payload optimisation, reporting, POD solutions, analysis and monitoring of cargo parameters like temperature, predictive maintenance, asset management, shipment integration, auto-billing and cost transparency. Its clients include Trimodal Europe BV.",,,,,,,,,2017,,Netherlands,Venlo,No,Unfunded,,,,Existing,,,,,,Data & AI,Demand & Supply Prediction,Old
Phase Change Energy Solutions,,Developer of thermal energy storage and heating products,Energy,,,,,,,,,,,2011,,USA,Asheboro,No,Series B,,186777,,Existing,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
PhosphoPOWER Group,,Manufacturer of saltwater based storage system,Energy,,,,,,,,,,,2018,,Canada,Waterloo,No,Unfunded,,,,Distant,,,,,,Fuel & Efficiency,Energy Efficiency & Storage,Old
Phytonix,,"industrial biotechnology company which produces biofuels from carbon dioxide. Through its patented technology, the company will initially produce biobutanol and biopentanol to replace gasoline",Industrial Biotechnology,,,,,,,,,,,2009,,USA,Black Mountain,Yes,Seed,,3000000,,Emerging,,,,,,"Carbon CS, offsetting & trading",CO2 Upcycling,Old
Pika Energy,,,,https://www.pika-energy.com/harbor-battery/,Harbor smart battery for ports,,,,,,,,,,,,,,,,,,,,,,,,,,Old
Pingle,,,,,"Pingle is a software as a service (SaaS) solution that eliminates the busy work of managing credentials for the maritime industry and connects industry professionals, training course providers and companies on one platform.",,,,,,,,,,,,,,,,,,,,,,,,,,Old
Pivotal Commware,,Software-defined antenna provider,Telecomm,https://pivotalcommware.com/,"Pivotal Commware (a spun out of Intellectual Ventures) provides software-defined antenna solutions based on Holographic Beam Forming (HBF) technology. Its solutions enable continuous reuse of the same band of spectrum, at the same time, within a given spatial region and lead to increase in network speed, capacity, and spectral efficiency. It claims to have a cost advantage of over 50x against MIMO or Phased Arrays antennas. Its end markets include mobile (4G/5G - in sync with MMWave technology), Access-in-Motion connectivity (vehicle), broadband wireless access (macro cell, small cell backhaul), and tactical/defense communication.",,,,,,,,,2016,,USA,Kirkland,Yes,Series B,,72749998,,Existing,,,,,,Data & AI,5G Connectivity,Old
Planyourcargo,,Online aggregator and booking platform for freight transport,Maritime,https://www.planyourcargo.com,"Planyourcargo provides an online platform to search and book freight transport services. The online portal can be used by shippers, importers, forwarders and brokers to compare and book transport.",,,,,,,,,2016,,India,Mumbai,No,Unfunded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Planystech,,,,,Submersible robotic inspection and survey solutions using Remotely Operated Vehicles (ROVs).,,,,,,,,,,,,,,,,,,,,,,,,,,Old
Plasma Stream Technologies,,Product for reducing drag in automobiles,Automotive,https://www.plasmastreamtech.com,,,,,,,,,,2015,,USA,Bettendorf,No,Seed,,460000,,Emerging,,,,,,"infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,Old
PNPLine,,Tech-enabled 3PL player,Maritime,https://www.pnpline.com,"PNPLine is company providing third part logistics services like fulfilment, warehousing and storage, and forwarding for retailers, e-commerce players, and others. The company provides fulfiment services like storage, inventory management, and dispatching from their warehouse in New Jersey, USA. Also allows for integration with amazon, eBay etc. for automated order processing , and inventory management for online retailers. Their forwarding services include ocean, trucking and intermodal transportation, customs clearance service, tracking, BoL management etc.",,,,,,,,,2014,,USA,North Bergen,No,Unfunded,,,,Emerging,,,,,,Business Model Innovation,Freight Orchestration,Old
Pole Star,,Monitoring and security systems for maritime vessels,,https://www.polestarglobal.com/,"Pole Star is a technology company developing SaaS software solutions and APIs for the maritime and government sectors. The company provides solutions for ship tracking, security alarm systems for vessels, conformance testing, regulatory compliance, fisheries etc. The company also utilizes the data captured through tracking and monitoring by analyzing it for business insights for their clients and further expand their service offerings. Claims their solution reduce financial crime risks and reduce costs.",,,,,,,,,1998,,UK,,,,,NA,,,,,,,,,4.2 Fleet management,Old
